name,latin,english_name,family,status,source,tradition
Tulsi,Ocimum sanctum,Holy Basil,Lamiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Amla,Emblica officinalis,Indian Gooseberry,Euphorbiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Giloy,Tinospora cordifolia,Heart-leaved Moonseed,Menispermaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Nagarmotha,Cyperus rotundus,Nut Grass,Cyperaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Agnimantha,Premna integrifolia,Dusky Fire Brand,Verbenaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Rohitaka,Tecomella undulata,Desert Teak,Bignoniaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Chopchini,Smilax china,China Root,Smilacaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Bhringraj,Eclipta alba,False Daisy,Asteraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Jatamansi,Nardostachys jatamansi,Spikenard,Valerianaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Chandana,Santalum album,White Sandalwood,Santalaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kutaj,Holarrhena antidysenterica,Conessi Tree,Apocynaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Rasona (Garlic),Allium sativum,Garlic,Amaryllidaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kanchanar,Bauhinia variegata,Orchid Tree,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Karpura (Camphor),Cinnamomum camphora,Camphor,Lauraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Pushkarmool,Inula racemosa,Indian Elecampane,Asteraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Bakuchi,Psoralea corylifolia,Purple Fleabane,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Vidarikand,Pueraria tuberosa,Indian Kudzu,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Ajmoda,Apium graveolens,Wild Celery,Apiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Patola,Trichosanthes dioica,Pointed Gourd,Cucurbitaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Vrikshamla,Garcinia indica,Kokum,Clusiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kumuda,Nymphaea alba,White Water Lily,Nymphaeaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Shigru,Moringa oleifera,Drumstick Tree,Moringaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Parpataka,Fumaria indica,Fine-leaved Fumitory,Papaveraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Indrayava,Holarrhena antidysenterica,Conessi Seeds,Apocynaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kapikachhu,Mucuna pruriens,Velvet Bean,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Bala,Sida cordifolia,Country Mallow,Malvaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Tamalpatra,Cinnamomum tamala,Indian Bay Leaf,Lauraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Chitrak,Plumbago zeylanica,Leadwort,Plumbaginaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Tagar,Valeriana wallichii,Indian Valerian,Caprifoliaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Khadira,Acacia catechu,Cutch Tree,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Twak (Cinnamon),Cinnamomum verum,Cinnamon,Lauraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Ela,Elettaria cardamomum,Cardamom,Zingiberaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Sariva,Hemidesmus indicus,Indian Sarsaparilla,Apocynaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Gorakhmundi,Sphaeranthus indicus,East Indian Globe Thistle,Asteraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kokilaksha,Asteracantha longifolia,Marsh Barbel,Acanthaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Yavani,Trachyspermum ammi,Carom Seeds,Apiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Bhunimba,Andrographis paniculata,King of Bitters,Acanthaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Chavya,Piper retrofractum,Java Long Pepper,Piperaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Palasha,Butea monosperma,Flame of the Forest,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Karanja,Pongamia pinnata,Indian Beech,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Ahiphena,Papaver somniferum,Opium Poppy,Papaveraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Danti,Baliospermum montanum,Red Physic Nut,Euphorbiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Eranda,Ricinus communis,Castor,Euphorbiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Guggulu,Commiphora mukul,Indian Bdellium,Burseraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Bhallataka,Semecarpus anacardium,Marking Nut,Anacardiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Vasaka,Adhatoda vasica,Malabar Nut,Acanthaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Laksha,Laccifer lacca,Lac,Kerriidae,insufficient_data,amidha-ayurveda-github,Ayurveda
Talisapatra,Abies webbiana,Himalayan Silver Fir,Pinaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Tamalaki,Phyllanthus niruri,Stonebreaker,Euphorbiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Shirisha,Albizia lebbeck,Lebbeck Tree,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Babbula,Acacia nilotica,Gum Arabic Tree,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kumkuma,Crocus sativus,Saffron,Iridaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Bilva,Aegle marmelos,Bael Tree,Rutaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Ashoka,Saraca asoca,Ashoka Tree,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Devadaru,Cedrus deodara,Himalayan Cedar,Pinaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Patala,Stereospermum suaveolens,Trumpet Flower,Bignoniaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Dhataki,Woodfordia fruticosa,Fire Flame Bush,Lythraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Yava,Hordeum vulgare,Barley,Poaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Masha,Vigna mungo,Black Gram,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Chana,Cicer arietinum,Bengal Gram,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Matulunga,Citrus medica,Citron,Rutaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Dadima,Punica granatum,Pomegranate,Lythraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Tinduka,Diospyros peregrina,Indian Persimmon,Ebenaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Draksha,Vitis vinifera,Grape,Vitaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Chakramarda,Cassia tora,Ringworm Plant,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Pashanabheda,Bergenia ligulata,Stone Breaker,Saxifragaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Lodhra,Symplocos racemosa,Symplocos Tree,Symplocaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Jati,Jasminum grandiflorum,Spanish Jasmine,Oleaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Shalparni,Desmodium gangeticum,Sal-leaved Desmodium,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kantakari,Solanum surattense,Yellow-berried Nightshade,Solanaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Gambhari,Gmelina arborea,Beechwood,Lamiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Gojihva,Onosma bracteata,Sedge,Boraginaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Aparajita,Clitoria ternatea,Butterfly Pea,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Meshashringi,Gymnema sylvestre,Gymnema,Apocynaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Ikshu,Saccharum officinarum,Sugarcane,Poaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Amrita,Tinospora cordifolia,Heart-leaved Moonseed,Menispermaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Shigru Patra,Moringa oleifera,Drumstick Tree Leaves,Moringaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Mandukparni,Centella asiatica,Gotu Kola,Apiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Vatsanabha,Aconitum ferox,Indian Aconite,Ranunculaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Ushira,Chrysopogon zizanioides,Vetiver,Poaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kiratatikta,Swertia chirata,Chiretta,Gentianaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Shilajit,Asphaltum punjabianum,Mineral Pitch,N/A,insufficient_data,amidha-ayurveda-github,Ayurveda
Kusha,Desmostachya bipinnata,Halfa Grass,Poaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Bimbi,Coccinia grandis,Ivy Gourd,Cucurbitaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Nirgundi,Vitex negundo,Five-leaved Chaste Tree,Lamiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Tagetes,Tagetes erecta,Marigold,Asteraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kachura,Curcuma zedoaria,Zedoary,Zingiberaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Shati,Hedychium spicatum,Spiked Ginger Lily,Zingiberaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Bhanga,Cannabis sativa,Cannabis,Cannabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Mochras,Bombax ceiba,Silk Cotton Tree Resin,Malvaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Jivanti,Leptadenia reticulata,Cork Swallow-wort,Apocynaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Makoy,Solanum nigrum,Black Nightshade,Solanaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kampillaka,Mallotus philippensis,Kamala Tree,Euphorbiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Amlavetasa,Garcinia pedunculata,Assam Gamboge,Clusiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Ardraka,Zingiber officinale,Fresh Ginger,Zingiberaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Parijata,Nyctanthes arbor-tristis,Night-flowering Jasmine,Oleaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Rajika,Brassica juncea,Indian Mustard,Brassicaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Rakta Chandana,Pterocarpus santalinus,Red Sandalwood,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Surana,Amorphophallus paeoniifolius,Elephant Foot Yam,Araceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Vasa,Adhatoda vasica,Malabar Nut,Acanthaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Lajjalu,Mimosa pudica,Touch-Me-Not,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Manjistha,Rubia cordifolia,Indian Madder,Rubiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Atibala,Abutilon indicum,Indian Mallow,Malvaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Karvellaka,Momordica charantia,Bitter Gourd,Cucurbitaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Katuki,Picrorhiza kurroa,Kutki,Plantaginaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
