name,latin,family,status,source,tradition,search_key,systems,properties
Agrimony,Agrimonia eupatoria,Rosaceae (Rose family),insufficient_data,materia-medica-github,Western Herbalism,agrimony,digestive,"Astringent, Choleretic, Hemostatic"
Angelica,Angelica archangelica,Apiaceae (Carrot family),insufficient_data,materia-medica-github,Western Herbalism,angelica,"woman-reproductive, digestive, nervous","Antidepressant, Anti-inflammatory (general), Anti-inflammatory (musculoskeletal), Antiemetic, Astringent, Appetite stimulant, Blood strengthening, Choleretic, Carminative, Bronchial spasmolytic, Circulatory stimulant, Woman tonic, Uterine tonic, Emmenagogue, Nerve tonic, Antioxidant, Antirheumatic, Estrogen regulating"
Anise,Pimpinella anisum,Apiaceae (Carrot family),insufficient_data,materia-medica-github,Western Herbalism,anise,"digestive, respiratory","Carminative, Antispasmodic, Expectorant"
Arnica,Arnica montana,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,arnica,"cardiovascular, skin","Analgesic (pain relief), Anti-inflammatory (external), Antimicrobial, Healing, Anti-inflammatory (general), Antifungal"
Artichoke,Cynara scolymus,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,artichoke,digestive,"Antiemetic, Anti-inflammatory (liver), Bitter tonic, Choleretic, Cholesterol lowering, Hepatoprotective, Weight reducing, Blood purifier, Diuretic, Cholagogue, Hepatic cell regenerating"
Ashwagandha,Asparagus racemosa,Asparagaceae (Asparagus family),insufficient_data,materia-medica-github,Western Herbalism,ashwagandha,"nervous, woman-reproductive, endocrine","Adaptogen, Woman tonic, Nerve tonic, Sedative, Uterine tonic, Aphrodisiac, Antioxidant, Astringent, Blood strengthening, Antispasmodic, Galactagogue, Emmenagogue, Diuretic"
Astragalus,Astragalus membranaceus,Fabaceae (Legume family),insufficient_data,materia-medica-github,Western Herbalism,astragalus,"immune, cardiovascular, endocrine","Adaptogen, Antiallergic, Antibacterial, Anticancer preventive, Blood pressure regulating, Blood strengthening, Diuretic, Immunomodulating, Heart tonic, Kidney tonic, Antioxidant, Blood pressure lowering, Interferon stimulating"
Bacopa,Bacopa monnieri,Plantaginaceae (Plantain family),insufficient_data,materia-medica-github,Western Herbalism,bacopa,"nervous, endocrine","Adaptogen, Nootropic, Nerve tonic, Antioxidant, Aldose reductase inhibitor, Anticancer preventive, Antidepressant, Anti-inflammatory (general), Anti-inflammatory (brain), Sedative, Anticonvulsant (epilepsy)"
Beth Root,Trillium erectum,Melanthiaceae (False hellebore family),insufficient_data,materia-medica-github,Western Herbalism,bethroot,"woman-reproductive, endocrine","Astringent, Hemostatic, Estrogen regulating"
Bilberry,Vaccinium myrtillus,Ericaceae (Heath family),insufficient_data,materia-medica-github,Western Herbalism,bilberry,"cardiovascular, digestive","Antioxidant, Astringent, Circulatory stimulant, Venotonic, Aldose reductase inhibitor, Anticancer preventive, Anti-inflammatory (general), Anti-inflammatory (brain), Antiseptic (urinary), Vasodilator, Cholesterol lowering, Galactofuge, Nootropic, Weight reducing"
Birch,Betula pendula,Betulaceae (Birch family),insufficient_data,materia-medica-github,Western Herbalism,birch,"urinary, skin","Anti-inflammatory (urinary), Diuretic, Anti-inflammatory (musculoskeletal), Antirheumatic, Antilithic"
Black Cohosh,Actaea racemosa,Ranunculaceae (Buttercup family),insufficient_data,materia-medica-github,Western Herbalism,blackcohosh,"woman-reproductive, endocrine","Anti-inflammatory (musculoskeletal), Anti-inflammatory (female reproductive), Sedative, Blood pressure regulating, Uterine tonic, Antispasmodic, Nerve tonic, Antirheumatic, Anhidrotic, Estrogen regulating"
Bladderwrack,Fucus vesiculosus,Fucaceae (Brown algae),insufficient_data,materia-medica-github,Western Herbalism,bladderwrack,endocrine,"Metabolism raising, Thyroid regulating, Weight reducing, Emollient"
Blue Cohosh,Caulophyllum thalictroides,Berberidaceae (Barberry family),insufficient_data,materia-medica-github,Western Herbalism,bluecohosh,woman-reproductive,"Uterine tonic, Antispasmodic, Emmenagogue"
Blue Flag,Iris versicolor,Iridaceae (Iris family),insufficient_data,materia-medica-github,Western Herbalism,blueflag,digestive,"Blood purifier, Choleretic, Laxative, Lymphatic stimulant, Diuretic, Weight reducing"
Buchu,Agathosma betulina,Rutaceae (Rue family),insufficient_data,materia-medica-github,Western Herbalism,buchu,urinary,"Urinary antiseptic, Sedative, Diuretic, Antiseptic (urinary)"
Bugleweed,Lycopus virginicus,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,bugleweed,"cardiovascular, endocrine","Antithyroid, Sedative, Thyroid regulating, Vasodilator"
Bupleurum,Bupleurum falcatum,Apiaceae (Carrot family),insufficient_data,materia-medica-github,Western Herbalism,bupleurum,"digestive, immune","Anti-inflammatory (liver), Choleretic, Hepatoprotective, Immunomodulating, Anti-inflammatory (general), Anti-ulcer, Expectorant, Kidney tonic"
Burdock,Arctium lappa,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,burdock,digestive,"Blood purifier, Laxative, Lymphatic stimulant"
Butcher's Broom,Ruscus aculeatus,Asparagaceae (Asparagus family),insufficient_data,materia-medica-github,Western Herbalism,butcher'sbroom,cardiovascular,"Anti-inflammatory (cardiovascular), Blood pressure raising, Venotonic, Laxative"
Butternut,Juglans cinerea,Juglandaceae (Walnut family),insufficient_data,materia-medica-github,Western Herbalism,butternut,digestive,Laxative
Cacao,Theobroma cacao,Malvaceae (Mallow family),insufficient_data,materia-medica-github,Western Herbalism,cacao,"nervous, cardiovascular","Antidepressant, Antioxidant, Cardioprotective, Vasodilator, Anticancer preventive"
Calendula,Calendula officinalis,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,calendula,"digestive, immune, skin","Anti-inflammatory (general), Anti-inflammatory (digestive/mucous membranes/skin), Anti-inflammatory (external), Antimicrobial, Antiviral (external), Astringent, Choleretic, Blood purifier, Vulnerary, Lymphatic stimulant, Antifungal, Hemostatic, Cholagogue, Healing"
Cascara Sagrada,Rhamnus purshiana,Rhamnaceae (Buckthorn family),insufficient_data,materia-medica-github,Western Herbalism,cascarasagrada,digestive,"Laxative, Bitter tonic"
Cat's Claw,Uncaria tomentosa,Rubiaceae (Coffee family),insufficient_data,materia-medica-github,Western Herbalism,cat'sclaw,"immune, digestive","Anti-inflammatory (general), Antimicrobial, Antioxidant, Antiviral (internal), Immunomodulating, Anticancer preventive, Blood purifier, Antifungal"
Catnip,Nepeta cataria,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,catnip,nervous,
Cayenne,Capsicum minimum and related species,Solanaceae (Nightshade family),insufficient_data,materia-medica-github,Western Herbalism,cayenne,cardiovascular,"Analgesic, Antibacterial, Anti-inflammatory (cardiovascular), Anticoagulant, Metabolism raising, Vasodilator, Blood pressure raising, Warming, Carminative, Cholesterol lowering, Circulatory stimulant, Expectorant, Diaphoretic, Weight reducing, Mucolytic"
Chaga,Inonotus obliquus,Hymenochaetaceae (Mushroom),insufficient_data,materia-medica-github,Western Herbalism,chaga,"immune, endocrine","Adaptogen, Antioxidant, Immunomodulating, Aldose reductase inhibitor, Antiallergic, Antibacterial, Anticancer preventive, Anti-inflammatory (general), Anti-inflammatory (liver), Anti-inflammatory (respiratory), Anti-inflammatory (digestive/mucous membranes/skin), Antimicrobial, Antiviral (internal), Blood purifier, Blood sugar regulating, Blood pressure regulating, Interferon stimulating, Cholesterol lowering, Hepatoprotective, Antiparasitic, Antifungal"
Chamomile,Anthemis nobilis/Chamaemelum nobile,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,chamomile,"nervous, immune, digestive","Antiallergic, Anti-inflammatory (general), Anti-inflammatory (digestive/mucous membranes/skin), Anti-ulcer, Antirheumatic, Antioxidant, Astringent, Sedative, Bitter tonic, Carminative, Cholagogue, Vulnerary, Hypnotic, Immunomodulating, Antispasmodic, Analgesic, Antifungal"
