id,name,latin,search_key,status
2124,Gum Arabic,Acacia senegal,gum arabic_acacia senegal,insufficient_data
2150,Hibiscus Flowers,Hibiscus sabdariffa,hibiscus flowers_hibiscus sabdariffa,insufficient_data
823,Baobab,Adansonia digitata,baobab_adansonia digitata,insufficient_data
1176,Rooibos,Aspalathus linearis,rooibos_aspalathus linearis,insufficient_data
1177,Marula,Sclerocarya birrea,marula_sclerocarya birrea,insufficient_data
1178,Moringa,Moringa oleifera,moringa_moringa oleifera,insufficient_data
2040,Acai Berry,Euterpe oleracea,acai berry_euterpe oleracea,insufficient_data
821,Maca,Lepidium meyenii,maca_lepidium meyenii,insufficient_data
822,Yacon,Smallanthus sonchifolius,yacon_smallanthus sonchifolius,insufficient_data
2053,Maqui Berry,Aristotelia chilensis,maqui berry_aristotelia chilensis,insufficient_data
1541,Chlorella,Chlorella pyrenoidosa,chlorella_chlorella pyrenoidosa,insufficient_data
2125,Benzoin Resin,Styrax benzoin,benzoin resin_styrax benzoin,insufficient_data
1548,Clubmoss,Lycopodium spp.,clubmoss_lycopodium spp.,insufficient_data
2137,Bladderwrack,Fucus vesiculosus,bladderwrack_fucus vesiculosus,insufficient_data
2,Turmeric,Curcuma longa,turmeric_curcuma longa,insufficient_data
3,Ashwagandha,Withania somnifera,ashwagandha_withania somnifera,insufficient_data
1001,Brahmi,Bacopa monnieri,brahmi_bacopa monnieri,insufficient_data
1002,Triphala,Three-fruit blend,triphala_three-fruit blend,insufficient_data
1003,Neem,Azadirachta indica,neem_azadirachta indica,insufficient_data
1004,Haritaki,Terminalia chebula,haritaki_terminalia chebula,insufficient_data
1005,Shatavari,Asparagus racemosus,shatavari_asparagus racemosus,insufficient_data
1502,Acacia Catechu,Acacia catechu,acacia catechu_acacia catechu,insufficient_data
1503,Andrographis,Andrographis paniculata,andrographis_andrographis paniculata,insufficient_data
1515,Boswellia,Boswellia serrata,boswellia_boswellia serrata,insufficient_data
1551,Coleus,Plectranthus barbatus,coleus_plectranthus barbatus,insufficient_data
2006,Fennel Seeds,Foeniculum vulgare,fennel seeds_foeniculum vulgare,insufficient_data
2007,Cumin Seeds,Cuminum cyminum,cumin seeds_cuminum cyminum,insufficient_data
2008,Coriander Seeds,Coriandrum sativum,coriander seeds_coriandrum sativum,insufficient_data
2010,Fenugreek Seeds,Trigonella foenum-graecum,fenugreek seeds_trigonella foenum-graecum,insufficient_data
2011,Nigella Seeds,Nigella sativa,nigella seeds_nigella sativa,insufficient_data
2018,Poppy Seeds,Papaver somniferum,poppy seeds_papaver somniferum,insufficient_data
2047,Pomegranate,Punica granatum,pomegranate_punica granatum,insufficient_data
2089,Ashwagandha Root,Withania somnifera,ashwagandha root_withania somnifera,insufficient_data
2123,Shilajit,Mineral-resin complex,shilajit_mineral-resin complex,insufficient_data
2126,Boswellia Extract,Boswellia carterii,boswellia extract_boswellia carterii,insufficient_data
2130,Tribulus,Tribulus terrestris,tribulus_tribulus terrestris,insufficient_data
2055,Mangosteen,Garcinia mangostana,mangosteen_garcinia mangostana,insufficient_data
2119,Propolis,Bee-produced,propolis_bee-produced,insufficient_data
2128,Raw Honey,Apis mellifera,raw honey_apis mellifera,insufficient_data
681,Mango Bark,Mangifera indica,mango bark_mangifera indica,insufficient_data
682,Guava Leaf,Psidium guajava,guava leaf_psidium guajava,insufficient_data
683,Soursop,Annona muricata,soursop_annona muricata,insufficient_data
1226,Hibiscus,Hibiscus sabdariffa,hibiscus_hibiscus sabdariffa,insufficient_data
1227,Aloe Vera,Aloe barbadensis,aloe vera_aloe barbadensis,insufficient_data
1518,Cacao,Theobroma cacao,cacao_theobroma cacao,insufficient_data
1524,Cayenne,Capsicum annuum,cayenne_capsicum annuum,insufficient_data
1549,Cocoa,Theobroma cacao,cocoa_theobroma cacao,insufficient_data
2048,Aronia Berry,Aronia melanocarpa,aronia berry_aronia melanocarpa,insufficient_data
2031,Porcini Mushroom,Boletus edulis,porcini mushroom_boletus edulis,insufficient_data
2033,Chanterelle Mushroom,Cantharellus cibarius,chanterelle mushroom_cantharellus cibarius,insufficient_data
2151,Chamomile Flowers,Matricaria chamomilla,chamomile flowers_matricaria chamomilla,insufficient_data
2152,Lavender Flowers,Lavandula angustifolia,lavender flowers_lavandula angustifolia,insufficient_data
2158,Cornflower,Centaurea cyanus,cornflower_centaurea cyanus,insufficient_data
7,St. John's Wort,Hypericum perforatum,st. john's wort_hypericum perforatum,insufficient_data
8,Valerian,Valeriana officinalis,valerian_valeriana officinalis,insufficient_data
741,Sage,Salvia officinalis,sage_salvia officinalis,insufficient_data
742,Thyme,Thymus vulgaris,thyme_thymus vulgaris,insufficient_data
743,Feverfew,Tanacetum parthenium,feverfew_tanacetum parthenium,insufficient_data
1476,Arnica,Arnica montana,arnica_arnica montana,insufficient_data
1477,Comfrey,Symphytum officinale,comfrey_symphytum officinale,insufficient_data
1478,Plantain,Plantago major,plantain_plantago major,insufficient_data
1507,Dandelion,Taraxacum officinale,dandelion_taraxacum officinale,insufficient_data
